Club Name	Nearest transport	London Borough	Website
10th Planet London	Royal Albert	Newham	https://10thplanetjjlondon.com/
10th Planet London - Woolwich	Woolwich	Greenwich	https://10thplanetjjlondon.com/
33 Jiu Jitsu	Hornsey	Haringey	https://www.instagram.com/33jiujitsu
Aeon BJJ	Streatham Common	Lambeth	https://aeonbjj.co.uk/
Alexandra Park BJJ	Bounds Green	Haringey	https://www.alexandraparkbjj.co.uk/
Alliance London	Imperial Wharf	Hammersmith & Fulham	https://alliancejjlondon.com/
Apex Jiu Jitsu	Finsbury Park	Islington	https://www.apexbjj.co.uk/
Apollo BJJ	Parsons Green	Hammersmith & Fulham	https://www.apollobjj.co.uk/
Arlans Siqueira BJJ - North London	Totteridge & whetstone	Barnet
https://www.arlanssiqueirabjj.com/northlondon_bjj_training_timetable.html
ARMA BJJ	Clapham common	Wandsworth	https://www.armabjj.com/
Aurum Jiu Jitsu	Kidbrooke	Greenwich	https://www.aurumbjjlondon.com/
Backstreet Dojo BJJ	Feltham	Hounslow	https://www.backstreetdojo.co.uk/home
Balance BJJ	Green Park	City of Westminster	https://www.balancebjj.co.uk/
Barnet Combat Academy	New Barnet	Barnet	https://www.barnetcombat.com/
Battlezone BJJ and MMA	Turnpike Lane	Haringey
https://www.instagram.com/battlezonemma
Battersea BJJ - Stars Gym	Battersea Park	Wandsworth
https://www.instagram.com/batterseabjj/
Beast Fight Team	Southall	Ealing	https://beastfightteam.com/
BJJ Art UK	Kennington	Lambeth	https://www.bjj-art.com
BJJ House Academy	Brondesbury Park	Brent	https://bjjhouse.uk/
Bloodline Gym	London Fields	Hackney	https://www.bloodlinegym.com/
Canary Wharf BJJ	Canary Wharf	Tower Hamlets	https://canarywharfbjj.com/
Cantagalo BJJ	Barons Court	Hammersmith & Fulham	https://cantagalobjj.com/home
Carlson Gracie Clapham	Wandsworth Road	Wandsworth	https://www.bjjsouthlondon.com/
Carlson Gracie Hackney	Angel	Hackney	https://bjjcarlsongracie.com
Carlson Gracie HQ	Goldhawk Road	Hammersmith & Fulham	https://www.bjjlondon.com/
Carlson Gracie Sheen	Mortlake	Richmond upon Thames	https://www.bjjsheen.com/
Carlson Gracie Sutton and Carshalton	Carshalton	Sutton	https://www.bjjcarshalton.com/
